InstitutionName,UnitID,ParentID,OPEID,InstitutionType,Address,City,State,HasHistory
Goddard College,147110,0,368600,Institution,123 Pitkin Road,Plainfield,VT,FALSE
GOLDEN GATE BAPTIST THEOLOGICAL SEMINARY-NORTHWEST,163365,0,001204A4,Institution,3200 NE 109TH AVE,VANCOUVER,WA,FALSE
Golden Gate University,104230,0,120500,Institution,536 Mission Street,San Francisco,CA,TRUE
Gonzaga University,148672,0,377800,Institution,E 502 Boone Ave,Spokane,WA,FALSE
Good Samaritan Hospital,228237,0,,Site,407 14th Avenue SE,Puyallup,WA,FALSE
GP Institute of Cosmetology,208053,0,4149600,Institution,306 23rd South #200,Seattle,WA,TRUE
Grays Harbor College,148681,0,377900,Institution,1620 Edward P Smith Dr,Aberdeen,WA,FALSE
Green River Community College,148690,0,378000,Institution,12401 SE 320th St,Auburn,WA,FALSE
Grifols Academy of Plasmapheresis,240888,0,,Institution,5242 West Camelback Road_ Suite 101,Glendale,AZ,FALSE
Heat & Frost Insulators & Allied Trades Apprenticeship Training Fund,244853,0,,Institution,3000 NE 4th Street,Renton,WA,FALSE
Henry Cogswell College,148557,0,2291700,Institution,3002 Colby Avenue,Everett,WA,FALSE
Heritage University,148715,0,377700,Institution,3240 Fort Rd,Toppenish,WA,FALSE
Highline College,148724,0,378100,Institution,2400 S 240th St,Des Moines,WA,TRUE
Inland Massage Institute_ Inc.,203951,0,4132800,Institution,775 E. Holland Avenue_ Suite 110,Spokane,WA,TRUE
Interface College,148733,0,2326500,Institution,178 S. Stevens,Spokane,WA,TRUE
INTERLINK International Institute at Seattle Pacific University,243230,0,,Institution,4 Nickerson StreetSuite 200,Seattle,WA,TRUE
International Air and Hospitality Academy,148742,0,2222900,Institution,2901 E Mill Plain Blvd,Vancouver,WA,FALSE
International Beauty Education Center,237011,0,4252900,Institution,12832 West Sunset Highway,Airway Heights,WA,FALSE
International Training Fund,237659,0,,Institution,4800 East Huron River Drive,Ann Arbor,MI,TRUE
ITT Technical Institute - Spokane Valley,216603,0,3071800,Institution,13518 E Indiana Avenue,Spokane Valley,WA,FALSE
Jonathan M. Wainwright Memorial VA Medical Center,193751,0,,Site,77 Wainwright Dr. (123),Walla Walla,WA,FALSE
Kaiser Permanente Seattle Residency in Primary Eye Care,210784,0,,Site,9720 Fourth Ave. NW,Seattle,WA,TRUE
Kaiser Permanente Washington Residency in Primary Care Optometry,216782,0,,Site,5821 S. Sprague Court,Tacoma,WA,TRUE
Kaplan College - Seattle Campus,186195,0,2091701,Institution,500 SW 39th Street_ Suite 155,Renton,WA,FALSE
Kaplan International,204440,0,,Institution,675 Massachusetts Avenue_  Suite 300,Cambridge,MA,TRUE
Kaplan Test Prep,204592,0,,Institution,750 Third Avenue_ 7th & 8th Floor,New York,NY,TRUE
Kirkland Beauty School,179317,0,,Institution,17311 140th Avenue N.E.,Woodinville,WA,FALSE
Lake Washington Institute of Technology,148803,0,537300,Institution,11605 132nd Avenue NE,Kirkland,WA,TRUE
Le Cordon Bleu College of Culinary Arts - Austin,230746,0,2569300,Institution,3110 Esperanza Crossing_ Suite 100,Austin,TX,TRUE
Lesley University,121275,0,216000,Institution,29 Everett St,Cambridge,MA,FALSE
Lower Columbia College,148812,0,378200,Institution,1600 Maple,Longview,WA,FALSE
Lower Columbia Enterprises_ Inc. DBA Stylemasters College of Hair Design,149091,0,2202200,Institution,1224 Commerce,Longview,WA,TRUE
Madigan Army Medical Center,197018,0,,Site,9040 Reid Street,Tacoma,WA,FALSE
Madigan Army Medical Center,228565,0,,Site,9040 Fitzsimmons Drive,Fort Lewis,WA,FALSE
Madigan Army Medical Center/Ft. Lewis Dental Activity Advanced Education in General Dentistry 12 Months,225292,0,,Site,MCDS-NI-HDC_ Department of the Navy,Tacoma,WA,FALSE
Mann-Grandstaff VA Medical Center,194000,0,,Site,4815 N. Assembly Street,Spokane,WA,TRUE
Middle Way Acupuncture Institute,228592,0,,Institution,321 W Washington Street_ Suite 334,Mt. Vernon,WA,FALSE
Montessori Center for Teacher Education - Washington State,216436,0,,Institution,10723 NE 38th Place,Bellevue,WA,FALSE
Montessori College for Early Education,178882,0,,Institution,2411 112th Ave. N.E.,Bellevue,WA,FALSE
Montessori Education Center of the Rockies/Pacific NW,178916,0,,Institution,PMB 114_ 321 Highschool Rd. NE,Bainbridge Island,WA,FALSE
Montessori Education Institute/Pacific NW,178934,0,4179400,Institution,19102 North Creek Parkway,Bothell,WA,TRUE
Montessori Institute For Teacher Education Program at Spring Valley,178998,0,,Institution,36605 Pacific Highway South,Federal Way,WA,TRUE
Montessori Northwest,138266,0,,Institution,622 Southeast Grand Avenue,Portland,OR,TRUE
Montessori Schools of Washington,165699,0,,Institution,1804 Puget Dr.,Everett,WA,FALSE
Montessori Teacher Preparation of Spokane,178952,0,,Institution,1904 W. Glass Ave.,Spokane,WA,FALSE
Montessori Teacher Preparation of Washington,178970,0,,Institution,318 3rd Avenue South,Kent,WA,FALSE
Moody Bible Institute,113704,0,172700,Institution,820 N LaSalle Blvd,Chicago,IL,TRUE
Mukogawa Fort Wright Institute,210739,0,,Institution,4000 W. Randolph Road,Spokane,WA,FALSE
National Psychology Training Consortium,244084,0,,Institution,1806 W. Lincoln Ave.,Yakima,WA,FALSE
North Seattle Community College,148858,0,970400,Institution,9600 College Way North,Seattle,WA,FALSE
Northeastern University,121716,0,219900,Institution,360 Huntington Ave_ 110CH,Boston,MA,TRUE
Northwest Aviation College,148414,0,,Institution,506 23rd Street NE,Auburn,WA,FALSE
Northwest Baptist Seminary,148867,0,1260100,Institution,4301 N Stevens,Tacoma,WA,FALSE
Northwest College of Art and Design,156781,0,2602100,Institution,16301 Creative Dr NE,Poulsbo,WA,TRUE
