collegeid,urls,visitedurls,rejectedurls,filesizeinMB
1317,1,1,0,0.00
1325,114,5,0,0.05
1337,92,4,1,0.03
1346,2,2,0,0.02
1350,57,5,0,0.04
1354,71,5,0,0.03
1355,247,5,0,0.06
1357,202,5,0,0.09
1359,394,5,0,0.07
1372,143,5,0,0.05
1373,142,5,0,0.08
1378,197,5,0,0.03
1381,115,5,0,0.07
1384,40,5,0,0.04
1387,1,0,1,0.00
1395,88,5,0,0.03
1403,115,5,0,0.05
1406,27,5,0,0.02
1408,251,5,0,0.05
1415,71,5,0,0.03
1418,92,5,0,0.06
1421,117,5,0,0.06
1422,1,0,1,0.00
1424,224,5,0,0.11
1428,1,0,1,0.00
1433,102,5,0,0.07
1440,1,0,1,0.00
1445,38,3,2,0.02
1447,146,5,0,0.04
1467,179,3,2,0.02
1468,86,5,0,0.05
1473,1,1,0,0.00
1481,159,5,0,0.10
1488,1,1,0,0.00
1491,187,5,0,0.10
1493,143,2,1,0.02
1499,262,5,0,0.09
1502,475,5,0,0.22
1508,1,1,0,0.00
1520,73,5,0,0.02
1524,114,5,0,0.05
1531,70,5,0,0.05
1533,94,5,0,0.10
1536,29,5,0,0.02
1540,1,1,0,0.01
1550,64,5,0,0.03
1553,262,4,1,0.02
1560,112,5,0,0.05
1564,185,5,0,0.04
1565,128,5,0,0.05
1568,131,5,0,0.07
1570,112,5,0,0.12
1588,132,5,0,0.09
1601,124,5,0,0.11
1603,84,5,0,0.07
1606,71,5,0,0.03
1607,127,5,0,0.09
1613,147,5,0,0.07
1615,445,5,0,0.45
1624,115,5,0,0.05
1630,115,5,0,0.05
1631,151,5,0,0.05
1632,112,5,0,0.05
1637,95,5,0,0.05
1639,81,5,0,0.03
1649,129,5,0,0.11
1650,345,5,0,0.12
1653,81,5,0,0.02
1654,133,5,0,0.19
1667,83,5,0,0.07
1668,121,5,0,0.04
1669,157,5,0,0.05
1670,143,5,0,0.03
1671,239,2,1,0.02
1679,1,0,1,0.00
1681,106,5,0,0.09
1684,79,5,0,0.04
1685,1,0,1,0.00
1693,37,5,0,0.02
1695,1,1,0,0.00
1707,141,5,0,0.04
1708,167,5,0,0.03
1730,160,5,0,0.03
1731,206,5,0,0.04
1732,197,5,0,0.02
1735,204,5,0,0.06
1738,176,5,0,0.04
1743,130,4,1,0.02
1746,139,5,0,0.06
1747,154,5,0,0.03
1748,123,5,0,0.04
1754,119,5,0,0.03
1758,665,5,0,0.39
1760,145,5,0,0.05
1761,97,1,2,0.01
1768,133,5,0,0.07
1773,164,5,0,0.04
1774,437,5,0,0.04
1778,91,5,0,0.07
1783,161,5,0,0.07
1786,186,5,0,0.10
1790,385,5,0,0.04
1794,83,5,0,0.03
1797,122,5,0,0.03
1828,115,5,0,0.05
1850,95,4,1,0.03
1857,225,5,0,0.06
1859,124,5,0,0.04
1865,202,5,0,0.06
1869,209,5,0,0.07
1870,184,4,1,0.11
1877,135,5,0,0.07
1886,495,5,0,0.15
1896,220,5,0,0.03
1904,103,4,1,0.02
1910,97,5,0,0.05
1919,57,4,1,0.03
1920,94,5,0,0.06
1927,163,5,0,0.05
1932,94,5,0,0.03
1935,96,5,0,0.07
1945,115,5,0,0.06
1956,140,5,0,0.04
1957,303,5,0,0.11
1962,155,5,0,0.04
1963,83,5,0,0.07
1969,161,5,0,0.05
1970,226,5,0,0.05
1971,131,5,0,0.03
1976,195,5,0,0.04
1989,159,3,1,0.01
1997,167,5,0,0.05
1998,81,5,0,0.03
2009,165,5,0,0.09
2010,125,5,0,0.04
2011,168,5,0,0.07
2017,88,5,0,0.02
2019,178,5,0,0.05
2024,123,5,0,0.05
2028,69,5,0,0.12
2039,398,5,0,0.05
2045,113,5,0,0.06
2049,68,5,0,0.08
2051,134,5,0,0.04
2053,217,5,0,0.08
2054,117,5,0,0.06
2073,301,5,0,0.11
2077,294,5,0,0.12
2084,351,5,0,0.05
2086,78,5,0,0.06
2087,236,5,0,0.07
2091,85,5,0,0.03
2094,703,5,0,0.31
2096,220,5,0,0.08
2101,3,3,0,0.03
2105,110,5,0,0.03
2108,65,5,0,0.03
2114,129,5,0,0.06
2115,171,5,0,0.04
2124,128,5,0,0.07
2130,105,5,0,0.04
2133,243,5,0,0.14
2138,184,5,0,0.05
2140,136,5,0,0.03
2141,202,5,0,0.04
2142,293,5,0,0.08
